teks,label,sosmed
anak kemarin sore jadi cawapres ga k bahaya tah,Kebencian,instagram
"@samyudhatama ya kan pembahasanya adalah era pk jokowi, kenapa masnya kasih gambaran 2004 dan 2009,, hrusnya ya di 2014 dan 19 ,dengan perolehan 23,6 jt dan 2019 di anka 27 jt. Kekuatan politik di bawah di bangun ya oleh bppemilu pdip, yang merancang strategi taktik dan politik di bawah. Pembinaan dan pengakomodiran di bawah kan buka pk jokowi langsung tetapi yang pengurus partai dari tinggkat pusat hingga tinggat ranting",Non-Kebencian,instagram
"@naldozb bener ,bicara kaderisasi pk jokowi ga mengikuti kaderisasi partai dengan benar. Jauh dibanding pk ganjar yang memang sidah berpartai sejak sma",Non-Kebencian,instagram
"@samyudhatama Kalau berbicara pak jokowi maju secara independent pada saat itu, apakah dia bisa menang ? mungkin kalau saat ini di coba maju secara independent gak bisa lagi ya, tapi coba saat itu dia independent tanpa ada bantuan PDIP apakah dia mampu dengan alasan anda dia di sukai oleh masyarakat.",Non-Kebencian,instagram
Apa hebatnya di dia 😮 sehingga jadi cawapres.. Banyak yg lebih berkualitas,Kebencian,instagram
Gibran rasanya gak minat jadi cawapres di pemilu ini?,Kebencian,instagram
PINTER POLITIK❌️ BEGO POLITIK✅️,Non-Kebencian,instagram
"@nouval80 ""KITA HARUS BERSIKAP LEBIH NASIONALIS DEMI KEBAIKAN BANGSA""🤭🤭",Non-Kebencian,instagram
@a9amkupie malu ama usia uda uzur tutur kata sperti itu sorry boss.. level anda ga stara sorry ya,Kebencian,instagram
"@bagusaji_16 Bedanya persaingan mereka lebih imbang, konsisten terhadap ideologi sendiri Demokrat (Progresif) Republik (Konservatif). Lah indo mah keliatan bego ada partai islam keliatan liberal",Kebencian,instagram
wkwkwk bisa aja pengemis kekuasaan,Kebencian,instagram
"Udh lahh mnding golput aja..pra capres nya cma peduli ama kelompok nya .ga mikirin rkyT,,, bisa2 ada usulan bocah kmren sore di jdiin cawapres, Indonesia kekurangan orang pintar kah . RK,, ET,, Mahfud MD,, Bu Susi,, mreka2 itu yg udh kenyang asam garam politik",Kebencian,instagram
Warga plus nm dua stop kebodohan milih pemimpin bodoh,Kebencian,instagram
"Sebenarnya saya kira keluarga pak jokowi gak takut dgn partai manapun. Yg lucu itu koalisi pak prabowo kyknya ngebet banget mau gibran jadi cawapres. Apa lagi mohon maaf, PBB ini suaranya gak pernah lolos ke parlemen sejak dulu kala, tp kyknya ribut sekali. 😂",Non-Kebencian,instagram
@ekacek wkakakaka ini lucu banget 😂,Non-Kebencian,instagram
"Pak jokowi pasti akan merestui,,,👏",Non-Kebencian,instagram
Hancur bgsa ini gara-gara kau kerbau,Kebencian,instagram
Dia gak seberani adik nya,Non-Kebencian,instagram
Politik pecah belah adu domba sedang dimainkan oleh capres yg tdk bermutu…bukannya sibuk dgn ide dan gagasan yg baik tp malah sibuk mempertontonkan cara2 norak dan tidak elegan demi ambisi berkuasa,Non-Kebencian,instagram
Kukira PBB diatas sana 🗿,Non-Kebencian,instagram
"Jangan dulu mas gibran, jalanmu masih panjang, semoga tidak",Kebencian,instagram
Kalah lagi Prabowo... Hatrik dah..wkwk,Kebencian,instagram
Wawww bawa nama Allah😂,Kebencian,instagram
Ah PBB paling pinter ngomporin Mas Gibran. Saya pikir mas Gibran sdh berhitung dg cermat atas setiap keputusan politik yg diambil. Gak perlu didiktelah olh partai PBB,Non-Kebencian,instagram
@refilubis umur udh tua tobat pak jgn nyinyir mulu,Kebencian,instagram
ga mungkin sih soalnya mas wali blm cukup umur jg,Kebencian,instagram
Matane emang umurnya cukup ta,Kebencian,instagram
@medizamy untuk kepentingan dinasti Jokowi 😂😂,Kebencian,instagram
Wah berarti fix Jokowi mihak Prabowo bukan Ganjar😂,Non-Kebencian,instagram
"gak sengaja tadi nonton video abraham samad sama bos mardigu, terus ngelihat berita gini wkwkwk",Non-Kebencian,instagram
"Udah jelas2 ga sesuai Undang-Undang, masih aja dikomporin. Seakan2 elite politik negeri ini ga malu nabrak peraturan yang dibuat sendiri.",Non-Kebencian,instagram
"""demi negara jangan takut keluar parpol"" itu friabelnya apa? wkwk😂",Non-Kebencian,instagram
"""Kita hanya takut kepada Allah!"", that's the key ❤️",Non-Kebencian,instagram
@nouval80 : definisi kehabisan materi pembahasan wkwk 😂,Non-Kebencian,instagram
Sy setuju jika Pak Prabowo berpasangan dengan Gibran dan Ganjar berpasangan dengan Kaesang. Karena bagaimanapun kami akan tetap memilih Bapak Anis Baswedan menjadi Presiden Indonesia,Non-Kebencian,instagram
Gausah2.. masih banyak yg lain yg bisa jadi cawapres kok.. masih banyak juga yg bagus2.. mahfud md contoh nya..,Non-Kebencian,instagram
Bagus... keluar aja dr partainya nenek2. Anak muda gak dianggap dan si nenek suka seenak dewe ngomong dan perintahnya.,Kebencian,instagram
Baliho nya udh banyak apakah ini plotwist nya,Non-Kebencian,instagram
Pancingan tolol,Kebencian,instagram
"Hanya mau manfaatin Gibran demi ambisi perolehan suara utk berkuasa bukan demi bangsa dan negara. Yakin Gibran tetap konsisten nangun Solo dan tetap dng PDIP, nggak tergiur rayuan.",Non-Kebencian,instagram
Keluar dari pdip dan jadi cawapres untuk kepentingan bangsa dan negara memang nya saat ini ada nya pdip itu kepentingan apa dan pak presiden jokowi di pdip itu untuk kepentingan apa ?,Non-Kebencian,instagram
kaesang aja sing ketum partai😂😂😂,Non-Kebencian,instagram
Hancurr pdip kalo gibran jd cawapres prabowo,Kebencian,instagram
Pak Budiman Sudjatmiko & Efendi Simbolon berkesempatan sekali di ajukan untuk cawapres nih👏,Non-Kebencian,instagram
@herdionprabowo_ gua tambahin “ kekosongannya di gimikin seolah kalem “ wktotlah,Non-Kebencian,instagram
"Iya sih, mending jangan di kubangan banteng, no banteng 2024",Kebencian,instagram
"Alibi nya bgtu knpa karena pdip bingung ,tuh pdip udah telak di tahun depan pemilihan suara nya hancur, nah di mau masangin gibran dan taktik nya dia keluar dri zona merah ,huppss ntar sama aja , lgii modal drama seri kbrpa ni",Non-Kebencian,instagram
Prestasinya apa???,Kebencian,instagram
"@ekacek baper amet sih pendukung prabowo. Ada berita dikit langsung marah2. Sama kaya junjungannya yg hobi marah2. Jangan dipilih deh presiden yg mau hidupin orba jilid 2. Lagian afriansyah itu sekjen PBB. Salah satu koalisi yg dukung prabowo. Ya jelas dia punya kepentingan terkait cawaprez prabowo. Otak dipake, jangan emosi aja!!!",Kebencian,instagram
Emang boleh semunafik itu?,Kebencian,instagram
IYA KAN .TERGANTUNG YG MULAI BICARA .DAN WAKTUNYA 😂😂😂,Non-Kebencian,instagram
@ekacek kata org dalam Partai nya anak muda.. informasi nya A1 . Ngga lama lagi Pak walikota akan segera berlabuh bersama partai Adik nya. Coba kita lihat bener atau ngga..,Non-Kebencian,instagram
@bennylee.jr pak @jokowi ini ada yang merendehkan bapak,Non-Kebencian,instagram
Emang kader koalisi indonesia maju gak ada yg mumpuni apa sampai kader partai lain mau diculik 🙄🙄🙄,Non-Kebencian,instagram
@refilubis kok jadi nyerang keluarga pak Jokowi...aneehhh!!!,Non-Kebencian,instagram
"Gibran tidak gila jabatan wkwk, buktinya dia mau dri bwah jdi walikota dlu, tidak langsung jdi ketua umum🤭🤣, tanpa berkeringat lgi🤭😅🤣",Kebencian,instagram
Gw kira sekjen pbb sebelah. Ternyata pbb lokalqn 😭,Kebencian,instagram
@nouval80 bukan demi bangsa dan negara tapi demi kepentingan 😂,Kebencian,instagram
"Gak punya figur yak 😬,, cari legitimasi dari figur lain yak biar menguatkan 😂",Kebencian,instagram
"Keluar dari PDIP bukan kepentingan negara dan bangsa, tapi kepentingan Prabowo dan PBB kalau untuk Bangsa dan Negara lewat walikota dan PDIP juga bisa",Non-Kebencian,instagram
Agak membingungkan emang... sekjen PBB itu gue kira Antonio Guteress.. trnyata Partainya pak Yusril.. (sial aku tertipu),Non-Kebencian,instagram
Aduhh becus kagak kerja nya ?,Kebencian,instagram
Gibran: JIWAKU MEMBANTENG 🤟 SALAM METAL 🤟 MERAH TOTAL 🤟,Non-Kebencian,instagram
"""Demi jadi panitia pengelola asset negara"" lebih make sense lah yak😂",Kebencian,instagram
Ganjar - Kaesang vs Prabowo - Gibran vs Anies - Amin.....alias 2 PDIP vs 1 Koalisi Nasdem...😂😂😂😂,Non-Kebencian,instagram
Takut sama negara? Harusnya takut dengan rakyat wkwkwk,Non-Kebencian,instagram
"Ibarat keluar dari ""Gerbong Perampok"" pindah ke "" Gerbong Sampah "" 😂😂",Kebencian,instagram
Gibran akan tegak lurus dgn bpknya jokowi tak akan mungkin keluar ke partai yg lain...salam waras,Non-Kebencian,instagram
"Lah, mmgnya si gibran, adiknya, adik iparnya, omnya itu keluarga siapa? Ya keluarga si pinokio lah.",Kebencian,instagram
"Jalani jabatan yang ada, jangan termakan omongan ""demi bangsa dan negara""",Non-Kebencian,instagram
Gak heran saya mah survey berbayar emang gitu; malahan katanya PS bisa 51% GP 49% dan AMIN 0% 😂😂😂😂😂😂😂😂😂😂😂😂😂😂,Non-Kebencian,instagram
"@firdaus_frs wah bagus dong klo dpet,lantas gmna cukup mmbantu sodara2 anda kah program pk jkw utk khidupan sehari-harinya?",Non-Kebencian,instagram
@lisnadyahri naik sih klo ada mahfud,Non-Kebencian,instagram
"Ganjar Pranowo, seorang pemimpin yang dikenal oleh banyak kalangan, memasuki panggung politik dengan dukungan yang kuat dari Generasi Z dan kaum milenial. Sedangkan, Prabowo Subianto mungkin lebih mengandalkan dukungan dari kalangan orang dewasa, yang lebih terbiasa dengan pendekatan politik konvensional. Tentunya, di era di mana media sosial dan teknologi digital memiliki peran yang semakin besar dalam memengaruhi opini dan preferensi pemilih, kondisi tersebut akan lebih menguntungkan Ganjar",Non-Kebencian,instagram
"@ruhullatif135 gimana logika nya cil umkm berkembang ko rakyat nya banyak yang miskin 😂😂, infrastruktur gimana jalan banyak yang rusak, coba adu SDM nya sama jakarta cil wkwkwk",Non-Kebencian,instagram
@rahmanlovers01_ kredibel ! Emang dia lembagai survei? 😂,Non-Kebencian,instagram
"@tubagusahmad_yusa cukup sodara tapi yg nyapres bukan jokowi lagi, saya mah terus terang saya pendukung jokowi di 2 periode tapi kali ini tidak dengan ganjar. Karena menurut saya ganjar dan pak jokowi itu beda sifatnya hehehe",Non-Kebencian,instagram
"Wkwkwkw itu topic lain, yg gw tanyain, lembaga survei kredibel mana yg salah datanya? Dari awal pemilu perasaan selalu tepat susuai lembagai survei",Non-Kebencian,instagram
Anis ga diajak 😁😁,Kebencian,instagram
"Kok takut ya sama yg no 3, kuliat banyak nyerang no 3, ibarat balapan moto gp aja yg no 1 takut di salip no 2",Non-Kebencian,instagram
"@ruhullatif135 coba main ke jakarta atau tanya langsung warga jakarta, jangan cuma kemakan omongan buzerrr yang bilang jakarta gk ada kemajuan. Bukan nya Ganjar yang gk ada gagasan dengan cuma melanjutkan program Jokowi di pilpres",Non-Kebencian,instagram
@hidayahpradian setujuuu sisaannya ya ke capres satu itu tuhh wkwk,Non-Kebencian,instagram
@syahgun333 pastii siihh apalagi beneran kalo ganjar mahfud,Non-Kebencian,instagram
@hidayahpradian beneerr makannya dari 2 itu ke yg 1 selisihnya 2x lipat sendiri,Non-Kebencian,instagram
@syahgun333 ga heran nanti kalo dah pengumuman capres makin seruuu,Non-Kebencian,instagram
@syahgun333 kita tunggu tgl mainnyaa wkwk,Non-Kebencian,instagram
"@ruhullatif135 pondasi yang baik apanya😂 jalan an rusak parah, sampai Jokowi turun tangan 🤣",Non-Kebencian,instagram
@hidayahpradian sebagai genz kupilih ganjarrr,Non-Kebencian,instagram
@pembelankri1945 politik identitas ya iklan adzan 😂,Non-Kebencian,instagram
@syahgun333 asli seru banget pertarungan atass wkwk,Non-Kebencian,instagram
@hidayahpradian yg satu dapet sisaan,Kebencian,instagram
@firdaus_frs kesian hidup lu diisi omongan sih manis yang suka merangkai kata2 Maka nya rata2 buzzer anis itu SDM rendah semua mereka suka ditipu sama junjungan nya😂,Kebencian,instagram
@ruhullatif135 yang buzer tuh kayaknya elu deh. Soalnya akun lu tuh....,Kebencian,instagram
@ruhullatif135 yg sdm rendah bukan ji yg bilang kah? 😂 soalnya pake akun fake😂,Kebencian,instagram
"@jishuseiimm jalan di JKT juga masih banyak yang rusak di era Anis emang cuman modal manis doang tuh gubernur maka nya laayak jadi gubernur terbodoh.., menang nya karena dia gubernur ibukota doang sih wkwkwkw",Kebencian,instagram
"@jishuseiimm lah gw asli Jakarta maka nya bisa berkomentar kayak gitu, toh juga rata2 warga DKI ogah pilih Anis karnea banyak janji palsu dia, yang suka sama Anis cuman segumpulan buzzer yang mau dibayar itu😂😂, biar lah fakta yang menjelaskan",Kebencian,instagram
@soligosoli wow ratusan yg milih 🔥🔥,Non-Kebencian,instagram
"@firdaus_frs ciri2 buzzer tolol kayak lu suka banget ketampar fakta, emang rata2 SDM penduking Anis rendah banget ini fakta yang GK bisa dihindarkan",Kebencian,instagram
Dunia tipu muslihat,Non-Kebencian,instagram
Iyain aja deh ... biar seneng,Kebencian,instagram
@nanabudil apakah juga bisa memastikan kalau itu datanya 100% dan jangan² survey dikolam sendiri😂😂,Kebencian,instagram
@ruhullatif135 argumenmu masih di bawah rata² bro😂,Kebencian,instagram
@negarawan98 lebih baik berada dalam kebenaran daripada tunduk dalam sistem dzolim 😃👍,Non-Kebencian,instagram
"Dan yg masih berusaha dijegal yg surveinya paling kecil, kan jadi heran 😂😂",Non-Kebencian,instagram
Tar pas Hari H nya Pada Nyungsep Fitnah Anies lagii 😂😂,Non-Kebencian,instagram
"Nomor 3 Buncit Terus Survey nya, tapi Kalo Poling menang,",Non-Kebencian,instagram
Ganjar? Mau IKN lanjot dan nyabutin banyak subsidi membuat harga2 makin mahal?,Kebencian,instagram
Adakah yang menjadi acuan kenapa media framming ini milih Poltracking? apa karena suruhan mantan (masih) bos?,Non-Kebencian,instagram
Pak anis naik nya 4% lebih. Yg lain cuma 2%,Non-Kebencian,instagram
"@luqmanhk menang krn putaran kedua, chuakssss",Non-Kebencian,instagram
"@purnamaagrotera lawak lu kadrun, junjunganny ga menang survey ga terima, lucu banget🤣🤣",Kebencian,instagram
@fanniblc ucap kata ketika junjunganny kalah survey🥴,Non-Kebencian,instagram
@joseph._.goebbelss yg penting menang chuakss,Non-Kebencian,instagram
kayaknya gak sesuai data yang di lapangan. pak ganjar di jateng aja bakal sulit menang kok. 😂,Non-Kebencian,instagram
@erikamiguela6 Keknya bakal naik drastis kalo sama mahfud,Non-Kebencian,instagram
@joseph._.goebbelss eh kadrun sdh di Kubu Pak Prabowo....😂😂,Kebencian,instagram
@firdaus_frs apalagi kualitas otak dan SDM lu masih dibawah rata2 bro,Kebencian,instagram
@luqmanhk menang jalur obral ayat mayat chuakssss,Kebencian,instagram
"@joseph._.goebbelss menyampaikan dalil masa dilarang, lagian masa org isl alergi sama dalil?? Chuakksss",Non-Kebencian,instagram
@luqmanhk dalil kebencian kan yg dimaksud chuakssss,Non-Kebencian,instagram
Kok ada yg percaya sama ganjar,Non-Kebencian,instagram
@galangsadewa771 milenial dan gen z banyak ga suka ganjar gara2 membatalkan pildun u24. Sama nak gen z ga suka sama PDIP.,Non-Kebencian,instagram
@ruhullatif135 kamu pasti buzzer. kalo bukan buzzer ya wong edan🤣,Kebencian,instagram
@arrahmanrabtsani mereka juga butuh makan 😂,Kebencian,instagram
@ptg.10 suara prabowo udah pecah bro,Non-Kebencian,instagram
"@menurutsayasih haha jangan di ladeni kak, biar orang saja menilai.",Non-Kebencian,instagram
"@luqmanhk sama kayak, presiden itu wajib jawa😙🤣kalau orang yaman gak kepilih jangan ngamuk",Kebencian,instagram
"bosen elektabilitas nya 2 orang capres ini mulu, keliatan survey bayarannya 😂😮 hari ini mau nipu rakyat ya udah ga zaman",Non-Kebencian,instagram
"@arrahmanrabtsani brrti itu anda yg tipu tipu isi data sendiri, gk tmui responden.. 😂",Non-Kebencian,instagram
@sekarjagadgemilang Pak Anies jadi petugas partai lagi kerja juga kan.. cari nafkah dri uang rakyat 🥱,Kebencian,instagram
@tifanyhusnah9 tapi kalo org cina boleh dipilih?? 🤪🤪,Kebencian,instagram
anis nyungsep setelah pasangannya imin,Kebencian,instagram
@jehianevian abis ini fokus ke luar jawa ga sih,Non-Kebencian,instagram
@akbarrmhammad ngeliat elektabilitasnya pak Mahfud juga positif si,Non-Kebencian,instagram
"pada kgk percaya survei tapi survei membuktikan di pemilu 2009,2014,2019 kalau apa yg disurvei lembaga kredibilitas pasti kenyataan",Non-Kebencian,instagram
"@luqmanhk enggak, hayooo marah yah drunn? 😂😂😂",Kebencian,instagram
@galangsadewa771 iya kan lebih anak muda banget,Non-Kebencian,instagram
@galangsadewa771 gagasannya juga lebih nyambung ke anak muda,Non-Kebencian,instagram
@siswoyoguno kalo calon wapresnya mahfud sih oke ya,Non-Kebencian,instagram
@galangsadewa771 aku juga suka sih sama ganjar,Non-Kebencian,instagram
wau ini yg waktu pilkada dki pakai tempat ibadah buat kampanye.. mau pura2 skg 😂,Kebencian,instagram
Terserah bapak saja. Semoga Anies jadi presiden RI 2024-2029. Aamiin,Non-Kebencian,instagram
"Mungkin jadi, semua pejabat dan/ petinggi yang merasa dirinya “bermasalah” saat ini takut mendukung @aniesbaswedan secara vulgar jadi mending cari aman saja",Non-Kebencian,instagram
"Ya klo beliau terang2an dukung Anies, bisa2 dihabisin 😂😂",Non-Kebencian,instagram
Wah.. disikat pakDe 5th kena mental kayanya nih..😂,Non-Kebencian,instagram
Netral netral tau taunya anak nya jadi Mentri 😂😂,Non-Kebencian,instagram
Lebih tepatnya jk ngga mau keluar dana besar lg untuk dukung capres yg sejak deklarasi hasil surveinya terendah dan sudah pasti kalah...memang perhitungan pebisnis kawakan seperti jk sangat rasional untung & ruginya 🔥😂,Non-Kebencian,instagram
Koq pinteran caplin drpd si ewok😢,Kebencian,instagram
"Kalo ibarat kan mobil harus pilih netral, mobilnya gak akan jalan Bapak hehe",Non-Kebencian,instagram
Pilih netral mana bisa cuan JK,Kebencian,instagram
@alfarafakha ya ntar di serang di cari2 kesalahannya bro. .. udah banyak yg menyatakan dukung Anies di cari2 kesalahannya 😂😂,Non-Kebencian,instagram
"Netral, wait and see ya pak...biar bisnisnya aman..",Non-Kebencian,instagram
@farhan_jr24 ntar kalah lagi ngomongnya dicurangin lagi🥲,Non-Kebencian,instagram
@riskiapriyanto081 PerubaHANCUR maksudmu? Ogahh...,Kebencian,instagram
@arkha.pram yang ini bukannya jongosnya SP Metro tivu😌,Kebencian,instagram
"@devika_alya BBM gratis? Duitnya siapaa?🤣 kalo yg ini bukan boneka lagi, udah jongosnya SP. Sponsored by MetroTivu",Kebencian,instagram
@irsyadhakim9 oh si manies jongosnya MetroTivu? 🤣,Kebencian,instagram
@rudysugiyono tepatny sepertinya itu karena bohir kan harus keluar modal yg gak gede..,Non-Kebencian,instagram
"Demi menyelamatkan bisnis2nya, politik saat ini kejam.. lawan politik dihantam dari segala sisi 😂",Non-Kebencian,instagram
Tidak mendukung di depan tapi logistik aman bukan begitu pak @jusufkalla 😂😂😂,Non-Kebencian,instagram
Jelasin dong bang. Jd malah takut ikut2 an komen politik. Medeni 😭,Non-Kebencian,instagram
"@riskiapriyanto081 jangan ikut2an cuman kelas rakyat banyak bacot perubahan indonesia bro. Anies jadi presiden pun tetap aja itu pejabat2 korup semua nanti, prabowo jadi presiden pun juga gitu juga, ganjar pun juga gitu juga.. sama aja semua bro !!!! Jangan harap indonesia ini bisa maju dan tidak ada pejabat yang korup selama belum ada yang berani hukum mati koruptor yang di tangkap dan di miskin kan semua harta nya buat negara/ rakyat ! Jadi jangan asal bacot slogan perubahan indonesia perubahan indonesia",Non-Kebencian,instagram
Kian jelas siapa Presiden RI ke depannya kan 😊 @iara.redjamat @ekanugraha @raenhat_hutabarat @mf8.corporation @djati_ko @trisreviandi,Non-Kebencian,instagram
Manusia yg spt ini karma akan dtg,Non-Kebencian,instagram
"Pantesan wajah si Pak Anies wktu ktmu Pak JK, kusut sut sut.",Kebencian,instagram
mending pilih pak @prabowo yah 👏👏,Non-Kebencian,instagram
Pengusaha ya biasa main tiga kaki 😂,Non-Kebencian,instagram
"Netral aja, nanti merapat ke yg menang☺👍",Non-Kebencian,instagram
Nah kalo gini asik nih Pak JK,Non-Kebencian,instagram
Tak usah di umbar ya pak tar ada yg kepanasan,Non-Kebencian,instagram
"Pantesan , yg sebelah cemberuttt 🙂",Non-Kebencian,instagram
masih ada yg percaya 😂 ingat di dki😂,Kebencian,instagram
@dhanangirawan tar gugat ke MK lg..isi gugatannya lawak2 semua😂,Non-Kebencian,instagram
@bang_sanel berantem antar oligarki🤭,Non-Kebencian,instagram
@fachran.wardi hahahaha saya tau bang.. tapi Abang tau gak siapa dibalik itu semua 😂 dan Abang tau gak kejadiannya bgmna,Non-Kebencian,instagram
